group_id,uid,data_source,n_efficient,n_inefficient,cost_min,cost_max,cost_gap,logical_search_batches_correct
39:113908,113908,hotpotqa,6,2,1,2,1,1;1;1;1;1;1;2;2
39:132914,132914,hotpotqa,2,5,1,2,1,1;1;2;2;2;2;2
39:13727,13727,nq,3,5,2,3,1,2;2;2;3;3;3;3;3
39:166507,166507,hotpotqa,5,3,1,2,1,1;1;1;1;1;2;2;2
39:32148,32148,nq,1,7,1,2,1,1;2;2;2;2;2;2;2
40:168041,168041,hotpotqa,7,1,1,2,1,1;1;1;1;1;1;1;2
40:19418,19418,nq,7,1,1,2,1,1;1;1;1;1;1;1;2
41:113623,113623,hotpotqa,7,1,2,3,1,2;2;2;2;2;2;2;3
41:129523,129523,hotpotqa,5,3,1,2,1,1;1;1;1;1;2;2;2
41:64365,64365,nq,7,1,2,4,2,2;2;2;2;2;2;2;4
43:118841,118841,hotpotqa,7,1,1,2,1,1;1;1;1;1;1;1;2
43:151252,151252,hotpotqa,6,2,1,2,1,1;1;1;1;1;1;2;2
44:141716,141716,hotpotqa,1,7,1,2,1,1;2;2;2;2;2;2;2
44:36498,36498,nq,6,2,1,2,1,1;1;1;1;1;1;2;2
44:36719,36719,nq,7,1,2,3,1,2;2;2;2;2;2;2;3
46:105198,105198,hotpotqa,3,5,1,2,1,1;1;1;2;2;2;2;2
49:56960,56960,nq,2,6,1,2,1,1;1;2;2;2;2;2;2
49:61082,61082,nq,6,2,2,3,1,2;2;2;2;2;2;3;3
51:30467,30467,nq,3,5,1,2,1,1;1;1;2;2;2;2;2
53:85949,85949,hotpotqa,6,2,1,3,2,1;1;1;1;1;1;3;3
55:161637,161637,hotpotqa,1,3,1,2,1,1;2;2;2
55:39378,39378,nq,5,3,1,2,1,1;1;1;1;1;2;2;2
55:47067,47067,nq,5,3,1,2,1,1;1;1;1;1;2;2;2
56:17937,17937,nq,3,5,1,2,1,1;1;1;2;2;2;2;2
56:60914,60914,nq,1,7,1,2,1,1;2;2;2;2;2;2;2
60:107586,107586,hotpotqa,1,7,1,3,2,1;3;3;3;3;3;3;3
61:127143,127143,hotpotqa,7,1,2,3,1,2;2;2;2;2;2;2;3
63:53551,53551,nq,3,2,2,3,1,2;2;2;3;3
67:107439,107439,hotpotqa,1,7,1,2,1,1;2;2;2;2;2;2;2
67:107684,107684,hotpotqa,7,1,1,2,1,1;1;1;1;1;1;1;2
68:40997,40997,nq,7,1,1,2,1,1;1;1;1;1;1;1;2
70:486,486,nq,3,5,1,2,1,1;1;1;2;2;2;2;2
72:101876,101876,hotpotqa,1,7,1,2,1,1;2;2;2;2;2;2;2
72:112964,112964,hotpotqa,6,2,2,3,1,2;2;2;2;2;2;3;3
73:125800,125800,hotpotqa,7,1,1,2,1,1;1;1;1;1;1;1;2
74:116211,116211,hotpotqa,2,6,2,3,1,2;2;3;3;3;3;3;3
75:17399,17399,nq,6,2,1,2,1,1;1;1;1;1;1;2;2
76:82373,82373,hotpotqa,7,1,2,3,1,2;2;2;2;2;2;2;3
80:120751,120751,hotpotqa,6,2,3,4,1,3;3;3;3;3;3;4;4
82:111711,111711,hotpotqa,4,4,1,2,1,1;1;1;1;2;2;2;2
85:79748,79748,hotpotqa,5,2,1,2,1,1;1;1;1;1;2;2
86:116822,116822,hotpotqa,3,5,5,6,1,5;5;5;6;6;6;6;6
86:27545,27545,nq,3,3,2,3,1,2;2;2;3;3;3
86:77792,77792,nq,2,6,1,2,1,1;1;2;2;2;2;2;2
88:157577,157577,hotpotqa,2,6,1,2,1,1;1;2;2;2;2;2;2
88:53637,53637,nq,1,7,1,2,1,1;2;2;2;2;2;2;2
89:107940,107940,hotpotqa,3,5,1,2,1,1;1;1;2;2;2;2;2
90:131850,131850,hotpotqa,3,5,1,2,1,1;1;1;2;2;2;2;2
91:108381,108381,hotpotqa,5,3,1,2,1,1;1;1;1;1;2;2;2
91:52982,52982,nq,5,3,1,2,1,1;1;1;1;1;2;2;2
94:102601,102601,hotpotqa,2,3,3,4,1,3;3;4;4;4
94:145574,145574,hotpotqa,6,2,4,5,1,4;4;4;4;4;4;5;5
96:100735,100735,hotpotqa,6,1,2,3,1,2;2;2;2;2;2;3
97:10466,10466,nq,3,5,1,2,1,1;1;1;2;2;2;2;2
97:162434,162434,hotpotqa,7,1,2,3,1,2;2;2;2;2;2;2;3
100:118447,118447,hotpotqa,3,5,1,2,1,1;1;1;2;2;2;2;2
100:94084,94084,hotpotqa,7,1,1,2,1,1;1;1;1;1;1;1;2
108:103389,103389,hotpotqa,5,3,2,3,1,2;2;2;2;2;3;3;3
108:169173,169173,hotpotqa,2,6,1,2,1,1;1;2;2;2;2;2;2
108:86196,86196,hotpotqa,1,7,2,3,1,2;3;3;3;3;3;3;3
108:93945,93945,hotpotqa,6,2,2,3,1,2;2;2;2;2;2;3;3
113:136151,136151,hotpotqa,5,3,1,2,1,1;1;1;1;1;2;2;2
114:105752,105752,hotpotqa,6,2,3,4,1,3;3;3;3;3;3;4;4
114:155451,155451,hotpotqa,3,5,1,2,1,1;1;1;2;2;2;2;2
