run,label,benchmark,response_tokens_mean,assistant_turns_mean_all_messages,retrieval_rounds_mean,search_queries_mean,parallel_factor_mean,parallel_sample_rate,multi_query_round_rate,zero_search_rate,no_answer_tag_rate,empty_output_rate
gap_step180_reference_evaluations,gap_step180_reference,2wikimultihopqa,390.046,3.447,2.463740458015267,2.9779739185750635,1.2889260912698703,0.4883110687022901,0.4883110687022901,7.951653944020357e-05,0.009303435114503817,0.0
gap_step180_reference_evaluations,gap_step180_reference,musique,414.356,3.717,2.7428452924097884,3.056408129406885,1.1648728051983979,0.2953131480713397,0.2953131480713397,0.0,0.01244296972210701,0.0
gap_step180_reference_evaluations,gap_step180_reference,bamboogle,301.28,3.016,2.016,2.2,1.1533333333333335,0.176,0.176,0.0,0.008,0.0
gap_step180_reference_evaluations,gap_step180_reference,OVERALL,,,1.9362512450928693,2.436495380949591,1.2583570376646696,0.42653463799535163,,0.0002539012909904103,0.006562371828675221,
gap_step60_reference_evaluations,gap_step60_reference,nq,314.276,2.261,1.2626038781163436,1.9265927977839334,1.6300600184672198,0.5304709141274239,0.5304709141274239,0.000554016620498615,0.002493074792243767,0.0
gap_step60_reference_evaluations,gap_step60_reference,triviaqa,299.966,2.279,1.2810289957567185,1.8437057991513437,1.528918405233381,0.4518210749646393,0.4518210749646393,8.84016973125884e-05,0.0018564356435643563,0.0
gap_step60_reference_evaluations,gap_step60_reference,popqa,303.128,2.483,1.492915788708857,1.8788781515657924,1.3381339028381836,0.3104701009954225,0.3104701009954225,0.0006539271961055002,0.008646370704061615,0.0
gap_step60_reference_evaluations,gap_step60_reference,hotpotqa,318.482,2.601,1.6041329011345218,2.1166936790923825,1.463198946515398,0.47960561858454887,0.47960561858454887,0.0001350621285791464,0.0025661804430037816,0.0
gap_step60_reference_evaluations,gap_step60_reference,2wikimultihopqa,346.332,2.925,1.9370229007633588,2.494831424936387,1.4298932017145392,0.5377703562340967,0.5377703562340967,7.951653944020357e-05,0.009303435114503817,0.0
gap_step60_reference_evaluations,gap_step60_reference,musique,366.962,3.179,2.196598921609291,2.5549564496059727,1.2626883727360716,0.3417669017005392,0.3417669017005392,0.0,0.004977187888842804,0.0
gap_step60_reference_evaluations,gap_step60_reference,bamboogle,278.864,2.808,1.808,1.968,1.148,0.16,0.16,0.0,0.0,0.0
gap_step60_reference_evaluations,gap_step60_reference,OVERALL,,,1.5889338098865255,2.0922052303665946,1.3167352959252658,0.438604714751665,,0.00027343215952813424,0.005800667955703991,
step120_20260911_235134,e1b_step120,nq,307.905,2.062,1.0628808864265928,1.862049861495845,1.7886426592797782,0.628808864265928,0.628808864265928,0.000554016620498615,0.00110803324099723,0.0
step120_20260911_235134,e1b_step120,triviaqa,301.228,2.085,1.086103253182461,1.7816478076379068,1.6845422265440828,0.5721357850070722,0.5721357850070722,8.84016973125884e-05,0.0006188118811881188,0.0
step120_20260911_235134,e1b_step120,popqa,309.58,2.17,1.1747438785148587,1.660030516602485,1.4625505582600697,0.39904090677904525,0.39904090677904525,0.0010172200828307781,0.002615708784422001,0.0
step120_20260911_235134,e1b_step120,hotpotqa,311.541,2.373,1.3741220961642355,1.9294975688816856,1.536151629749685,0.5241761210156672,0.5241761210156672,0.0,0.0002701242571582928,0.0
step120_20260911_235134,e1b_step120,2wikimultihopqa,320.999,2.532,1.5325222646310432,2.0985209923664123,1.5137464217557255,0.5426208651399491,0.5426208651399491,0.00023854961832061068,0.0007156488549618321,0.0
step120_20260911_235134,e1b_step120,musique,358.582,2.804,1.8067192036499378,2.2206553297386975,1.3457175445873082,0.3844877644131066,0.3844877644131066,0.0,0.0008295313148071339,0.0
step120_20260911_235134,e1b_step120,bamboogle,285.088,2.68,1.68,1.912,1.22,0.224,0.224,0.0,0.0,0.0
step120_20260911_235134,e1b_step120,OVERALL,,,1.2949747075252436,1.8748266635417277,1.4477708735521235,0.505732309915822,,0.00039061737075447747,0.0011718521122634324,
step120_20260913_165834,e1d_step120,nq,324.744,2.338,1.3398891966759003,2.0077562326869804,1.6117593325418802,0.5440443213296399,0.5440443213296399,0.0002770083102493075,0.002493074792243767,0.0
step120_20260913_165834,e1d_step120,triviaqa,312.413,2.363,1.364480198019802,1.94740099009901,1.5293342089310997,0.4741867043847242,0.4741867043847242,8.84016973125884e-05,0.001502828854314003,0.0
step120_20260913_165834,e1d_step120,popqa,323.852,2.579,1.5846109133183173,2.004868124682119,1.344070454600503,0.32253142483470176,0.32253142483470176,0.0006539271961055002,0.005958003342294558,0.0
step120_20260913_165834,e1d_step120,hotpotqa,334.116,2.745,1.7487844408427877,2.2445975148568342,1.4312882676030976,0.46258779038357645,0.46258779038357645,0.0,0.002971366828741221,0.0
step120_20260913_165834,e1d_step120,2wikimultihopqa,368.864,3.144,2.154580152671756,2.6894879134860052,1.3721882383678827,0.5085082697201018,0.5085082697201018,0.0,0.006679389312977099,0.0
step120_20260913_165834,e1d_step120,musique,391.857,3.413,2.4284529240978845,2.763168809622563,1.2153502794730513,0.31231854002488596,0.31231854002488596,0.0,0.007880547490667772,0.0
step120_20260913_165834,e1d_step120,bamboogle,303.2,3.064,2.064,2.232,1.1238095238095238,0.152,0.152,0.0,0.0,0.0
step120_20260913_165834,e1d_step120,OVERALL,,,1.723364778031679,2.2314603230405656,1.294827625286158,0.43669068963496804,,0.0002148395539149626,0.0045506923692896625,
step70_20260913_024024,e1d_step70,nq,314.083,2.284,1.2867036011080333,1.9445983379501386,1.617680055401662,0.5301939058171745,0.5301939058171745,0.0002770083102493075,0.002770083102493075,0.0
step70_20260913_024024,e1d_step70,triviaqa,302.73,2.298,1.3014497878359264,1.868104667609618,1.529210972755439,0.4573019801980198,0.4573019801980198,8.84016973125884e-05,0.0029172560113154174,0.0
step70_20260913_024024,e1d_step70,popqa,313.264,2.514,1.5275012715251035,1.9168785875172565,1.3401030367825428,0.31373973697595003,0.31373973697595003,0.0011625372375208894,0.010462835137688004,0.0
step70_20260913_024024,e1d_step70,hotpotqa,323.7,2.63,1.6339816315505133,2.1426256077795784,1.4580712484885903,0.4752836304700162,0.4752836304700162,0.0002701242571582928,0.0032414910858995136,0.0
step70_20260913_024024,e1d_step70,2wikimultihopqa,351.013,2.976,1.9898218829516539,2.545722010178117,1.420526248031032,0.5364185750636132,0.5364185750636132,0.0,0.011370865139949109,0.0
step70_20260913_024024,e1d_step70,musique,369.99,3.219,2.235586893405226,2.5972625466611365,1.258135825877429,0.3442554956449606,0.3442554956449606,0.0,0.007051016175860639,0.0
step70_20260913_024024,e1d_step70,bamboogle,278.928,2.864,1.864,2.016,1.144,0.152,0.152,0.0,0.0,0.0
step70_20260913_024024,e1d_step70,OVERALL,,,1.6236987558836742,2.1274389172086483,1.3102423768569196,0.43981562860100387,,0.00039061737075447747,0.007245952227495557,
