global_step,q,generation_batches_consumed,candidate_groups_seen,mixed_groups_available,efficiency_groups_available,requested_quota,actual_efficiency_groups_inserted,mixed_groups_used,mixed_groups_replaced,quota_filled,optimizer_batch_size,source_nq,source_hotpotqa,mean_k_over_8,mean_search_rounds,mean_search_queries,mean_response_tokens,efficiency_source_nq,efficiency_source_hotpotqa,replaced_mean_k_over_8,replaced_mean_search_rounds,replaced_mean_tokens,inserted_mean_cost_gap
86,1,12,1920,32,9,1,1,31,1,True,32,18,14,0.52734375,1.62109375,2.37109375,1502.94921875,0,1,0.625,1.0,1301.75,2.0
86,2,12,1920,32,9,2,2,30,2,True,32,17,15,0.5546875,1.640625,2.390625,1519.01171875,0,2,0.375,1.0,1260.9375,1.5
86,3,12,1920,32,9,3,3,29,3,True,32,17,15,0.56640625,1.62109375,2.37109375,1513.14453125,1,2,0.4583333333333333,1.6666666666666667,1567.9583333333333,1.3333333333333333
86,4,12,1920,32,9,4,4,28,4,True,32,17,15,0.5859375,1.69140625,2.44140625,1553.14453125,1,3,0.4375,1.5,1494.78125,1.25
87,0,12,1920,32,9,0,0,32,0,True,32,11,21,0.4765625,1.7265625,2.19140625,1438.5625,0,0,,,,
87,1,12,1920,32,9,1,1,31,1,True,32,11,21,0.48828125,1.74609375,2.2421875,1476.69140625,0,1,0.625,2.0,1264.5,1.0
87,2,12,1920,32,9,2,2,30,2,True,32,11,21,0.4921875,1.72265625,2.1875,1454.07421875,0,2,0.75,2.0,1510.625,1.0
87,3,12,1920,32,9,3,3,29,3,True,32,10,22,0.51171875,1.79296875,2.2578125,1494.3203125,0,3,0.625,1.6666666666666667,1440.0833333333333,1.0
87,4,12,1920,32,9,4,4,28,4,True,32,9,23,0.5390625,1.78515625,2.28125,1510.375,0,4,0.5,1.9375,1502.375,1.25
88,0,14,2240,32,9,0,0,32,0,True,32,17,15,0.51953125,2.08203125,2.62109375,1610.953125,0,0,,,,
88,1,14,2240,32,9,1,1,31,1,True,32,16,16,0.546875,2.1171875,2.65625,1628.15234375,0,1,0.125,1.0,749.5,1.0
88,2,14,2240,32,9,2,2,30,2,True,32,16,16,0.5546875,2.140625,2.6484375,1625.9453125,0,2,0.4375,1.0625,1110.4375,1.0
88,3,14,2240,32,9,3,3,29,3,True,32,15,17,0.5625,2.1015625,2.609375,1604.53125,0,3,0.5416666666666666,1.7083333333333333,1396.2083333333333,1.0
88,4,14,2240,32,9,4,4,28,4,True,32,14,18,0.5859375,2.16015625,2.66796875,1637.953125,0,4,0.46875,1.53125,1217.71875,1.0
89,0,11,1760,32,9,0,0,32,0,True,32,10,22,0.47265625,2.0703125,2.83203125,1778.828125,0,0,,,,
89,1,11,1760,32,9,1,1,31,1,True,32,10,22,0.5,2.01953125,2.8125,1767.9453125,0,1,0.125,3.0,1896.375,1.0
89,2,11,1760,32,9,2,2,30,2,True,32,9,23,0.51953125,2.09375,2.85546875,1799.03515625,0,2,0.25,2.1875,1668.5625,1.0
89,3,11,1760,32,9,3,3,29,3,True,32,9,23,0.5390625,2.04296875,2.8046875,1771.5546875,0,3,0.2916666666666667,2.625,1856.75,1.0
89,4,11,1760,32,9,4,4,28,4,True,32,8,24,0.5546875,2.125,2.85546875,1796.06640625,0,4,0.34375,2.21875,1720.3125,1.0
90,0,9,1440,32,4,0,0,32,0,True,32,15,17,0.5,1.65234375,2.33984375,1467.625,0,0,,,,
90,1,9,1440,32,4,1,1,31,1,True,32,14,18,0.5078125,1.62890625,2.37890625,1496.67578125,0,1,0.75,2.0,1281.375,1.0
90,2,9,1440,32,4,2,2,30,2,True,32,14,18,0.53125,1.65625,2.375,1498.77734375,0,2,0.5,1.5,1247.8125,1.0
90,3,9,1440,32,4,3,3,29,3,True,32,14,18,0.5546875,1.53125,2.25,1434.40625,0,3,0.4166666666666667,3.1666666666666665,2014.875,1.0
90,4,9,1440,32,4,4,4,28,4,True,32,13,19,0.57421875,1.5078125,2.2578125,1444.63671875,0,4,0.40625,2.875,1837.1875,1.0
91,0,8,1280,32,6,0,0,32,0,True,32,13,19,0.45703125,1.875,2.51171875,1614.92578125,0,0,,,,
91,1,8,1280,32,6,1,1,31,1,True,32,13,19,0.46484375,1.90234375,2.5078125,1614.39453125,0,1,0.75,2.0,1898.0,1.0
91,2,8,1280,32,6,2,2,30,2,True,32,13,19,0.46875,1.91796875,2.5546875,1642.8125,0,2,0.8125,1.5,1324.8125,1.0
91,3,8,1280,32,6,3,3,29,3,True,32,13,19,0.4921875,1.953125,2.62109375,1674.9375,0,3,0.625,1.6666666666666667,1317.125,1.0
91,4,8,1280,32,6,4,4,28,4,True,32,13,19,0.515625,1.96875,2.62109375,1673.2265625,1,3,0.53125,1.5,1339.03125,1.0
92,0,8,1280,32,3,0,0,32,0,True,32,13,19,0.5234375,1.65234375,2.27734375,1467.6875,0,0,,,,
92,1,8,1280,32,3,1,1,31,1,True,32,13,19,0.52734375,1.70703125,2.33203125,1501.078125,0,1,0.875,2.0,1926.75,1.0
92,2,8,1280,32,3,2,2,30,2,True,32,13,19,0.5390625,1.703125,2.359375,1512.55859375,0,2,0.75,2.0,1695.25,1.0
92,3,8,1280,32,3,3,3,29,3,True,32,13,19,0.56640625,1.70703125,2.39453125,1527.94140625,0,3,0.5416666666666666,2.0,1578.875,1.0
92,4,8,1280,32,3,4,3,29,3,False,32,13,19,0.56640625,1.70703125,2.39453125,1527.94140625,0,3,0.5416666666666666,2.0,1578.875,1.0
93,0,11,1760,32,8,0,0,32,0,True,32,13,19,0.52734375,1.9921875,2.55078125,1611.06640625,0,0,,,,
93,1,11,1760,32,8,1,1,31,1,True,32,12,20,0.53125,1.9296875,2.45703125,1550.046875,0,1,0.875,3.625,3150.125,1.0
93,2,11,1760,32,8,2,2,30,2,True,32,12,20,0.5546875,1.89453125,2.453125,1554.95703125,1,1,0.5625,2.9375,2249.375,1.0
93,3,11,1760,32,8,3,3,29,3,True,32,13,19,0.57421875,1.875,2.49609375,1572.23046875,2,1,0.5,2.625,1937.4166666666667,1.0
93,4,11,1760,32,8,4,4,28,4,True,32,13,19,0.6015625,1.890625,2.51171875,1580.59765625,3,1,0.40625,2.21875,1643.4375,1.0
94,0,11,1760,32,7,0,0,32,0,True,32,14,18,0.50390625,1.63671875,2.3359375,1504.87109375,0,0,,,,
94,1,11,1760,32,7,1,1,31,1,True,32,15,17,0.51171875,1.66015625,2.33203125,1508.296875,1,0,0.75,2.0,1817.0,2.0
94,2,11,1760,32,7,2,2,30,2,True,32,14,18,0.53125,1.671875,2.34375,1521.09375,1,1,0.5625,1.6875,1571.5,1.5
94,3,11,1760,32,7,3,3,29,3,True,32,15,17,0.5390625,1.65625,2.296875,1496.5078125,2,1,0.625,1.7916666666666667,1680.5833333333333,1.3333333333333333
94,4,11,1760,32,7,4,4,28,4,True,32,15,17,0.54296875,1.6484375,2.2578125,1474.03515625,2,2,0.6875,1.84375,1729.28125,1.25
95,0,8,1280,32,3,0,0,32,0,True,32,14,18,0.5546875,2.1171875,2.765625,1717.36328125,0,0,,,,
95,1,8,1280,32,3,1,1,31,1,True,32,13,19,0.5625,2.1328125,2.75390625,1707.8828125,0,1,0.75,3.25,2681.375,1.0
95,2,8,1280,32,3,2,2,30,2,True,32,13,19,0.57421875,2.15625,2.77734375,1720.453125,0,2,0.6875,2.125,2042.8125,1.0
95,3,8,1280,32,3,3,3,29,3,True,32,12,20,0.58984375,2.1640625,2.78515625,1720.0546875,0,3,0.625,2.0833333333333335,1822.2083333333333,1.0
95,4,8,1280,32,3,4,3,29,3,False,32,12,20,0.58984375,2.1640625,2.78515625,1720.0546875,0,3,0.625,2.0833333333333335,1822.2083333333333,1.0
96,0,11,1760,32,9,0,0,32,0,True,32,13,19,0.5859375,1.98828125,2.43359375,1554.8203125,0,0,,,,
96,1,11,1760,32,9,1,1,31,1,True,32,12,20,0.59765625,2.0625,2.48828125,1587.609375,0,1,0.625,1.375,1250.0,1.0
96,2,11,1760,32,9,2,2,30,2,True,32,12,20,0.609375,2.03515625,2.4609375,1575.2109375,0,2,0.625,1.6875,1511.875,1.0
96,3,11,1760,32,9,3,3,29,3,True,32,11,21,0.62890625,2.04296875,2.4609375,1575.5390625,0,3,0.5416666666666666,1.4583333333333333,1435.7083333333333,1.0
96,4,11,1760,32,9,4,4,28,4,True,32,12,20,0.640625,2.0390625,2.48828125,1585.5546875,1,3,0.5625,1.59375,1405.03125,1.0
97,0,11,1760,32,9,0,0,32,0,True,32,16,16,0.578125,2.24609375,2.6953125,1734.25390625,0,0,,,,
97,1,11,1760,32,9,1,1,31,1,True,32,17,15,0.6015625,2.1875,2.63671875,1699.6328125,1,0,0.25,4.0,2474.25,1.0
97,2,11,1760,32,9,2,2,30,2,True,32,17,15,0.62109375,2.19140625,2.609375,1683.66796875,2,0,0.3125,2.5,1904.125,1.0
97,3,11,1760,32,9,3,3,29,3,True,32,17,15,0.625,2.17578125,2.625,1694.234375,2,1,0.5,2.3333333333333335,1710.375,1.0
97,4,11,1760,32,9,4,4,28,4,True,32,18,14,0.65234375,2.18359375,2.640625,1701.18359375,3,1,0.40625,2.0,1499.5625,1.0
98,0,10,1600,32,9,0,0,32,0,True,32,14,18,0.52734375,1.734375,2.37109375,1497.13671875,0,0,,,,
98,1,10,1600,32,9,1,1,31,1,True,32,14,18,0.55078125,1.76953125,2.375,1497.86328125,0,1,0.25,1.0,1310.0,1.0
98,2,10,1600,32,9,2,2,30,2,True,32,15,17,0.5625,1.828125,2.49609375,1543.890625,1,1,0.4375,1.1875,1196.625,1.0
98,3,10,1600,32,9,3,3,29,3,True,32,15,17,0.5703125,1.8515625,2.51953125,1557.4140625,2,1,0.5416666666666666,1.7916666666666667,1423.25,1.0
98,4,10,1600,32,9,4,4,28,4,True,32,15,17,0.59375,1.76953125,2.4375,1512.77734375,2,2,0.46875,2.34375,1674.6875,1.0
99,0,14,2240,32,15,0,0,32,0,True,32,9,23,0.515625,2.30078125,2.8515625,1811.28515625,0,0,,,,
99,1,14,2240,32,15,1,1,31,1,True,32,10,22,0.5390625,2.2421875,2.82421875,1792.25,1,0,0.25,3.5,2160.0,1.0
99,2,14,2240,32,15,2,2,30,2,True,32,11,21,0.54296875,2.265625,2.81640625,1792.48046875,2,0,0.5625,2.25,1691.3125,1.0
99,3,14,2240,32,15,3,3,29,3,True,32,11,21,0.56640625,2.24609375,2.734375,1754.58203125,2,1,0.4583333333333333,2.3333333333333335,1904.1666666666667,1.0
99,4,14,2240,32,15,4,4,28,4,True,32,11,21,0.5859375,2.21875,2.70703125,1729.984375,2,2,0.4375,2.625,2050.53125,1.0
100,0,10,1600,32,9,0,0,32,0,True,32,15,17,0.4921875,2.2578125,2.6875,1719.73828125,0,0,,,,
100,1,10,1600,32,9,1,1,31,1,True,32,14,18,0.515625,2.16015625,2.58984375,1665.16015625,0,1,0.25,4.25,2648.125,1.0
100,2,10,1600,32,9,2,2,30,2,True,32,14,18,0.53125,2.1796875,2.62109375,1681.14453125,1,1,0.375,2.625,1713.0625,1.0
100,3,10,1600,32,9,3,3,29,3,True,32,14,18,0.54296875,2.16796875,2.578125,1648.77734375,2,1,0.4583333333333333,2.2916666666666665,1771.7916666666667,1.0
100,4,10,1600,32,9,4,4,28,4,True,32,15,17,0.546875,2.1875,2.62890625,1678.5390625,3,1,0.5625,2.21875,1662.0,1.0
101,0,9,1440,32,6,0,0,32,0,True,32,18,14,0.47265625,1.78515625,2.69140625,1692.19921875,0,0,,,,
101,1,9,1440,32,6,1,1,31,1,True,32,18,14,0.484375,1.80078125,2.70703125,1698.78515625,1,0,0.625,2.0,1387.25,1.0
101,2,9,1440,32,6,2,2,30,2,True,32,17,15,0.51171875,1.71484375,2.65234375,1666.3671875,1,1,0.375,3.0625,1986.3125,1.0
101,3,9,1440,32,6,3,3,29,3,True,32,17,15,0.5234375,1.71875,2.625,1652.015625,1,2,0.4583333333333333,2.7083333333333335,1996.625,1.0
101,4,9,1440,32,6,4,4,28,4,True,32,17,15,0.54296875,1.703125,2.609375,1635.609375,2,2,0.4375,2.53125,2014.46875,1.0
102,0,8,1280,32,3,0,0,32,0,True,32,11,21,0.4765625,2.27734375,3.03515625,1961.828125,0,0,,,,
102,1,8,1280,32,3,1,1,31,1,True,32,11,21,0.484375,2.1953125,2.984375,1934.7890625,0,1,0.75,3.75,2284.0,1.0
102,2,8,1280,32,3,2,2,30,2,True,32,12,20,0.5,2.1796875,2.96875,1925.6953125,1,1,0.625,2.875,1809.5,1.0
102,3,8,1280,32,3,3,3,29,3,True,32,11,21,0.50390625,2.22265625,3.01171875,1952.6015625,1,2,0.7083333333333334,2.25,1444.4583333333333,1.0
102,4,8,1280,32,3,4,3,29,3,False,32,11,21,0.50390625,2.22265625,3.01171875,1952.6015625,1,2,0.7083333333333334,2.25,1444.4583333333333,1.0
103,0,12,1920,32,9,0,0,32,0,True,32,13,19,0.4765625,1.8671875,2.640625,1681.85546875,0,0,,,,
103,1,12,1920,32,9,1,1,31,1,True,32,14,18,0.4921875,1.85546875,2.61328125,1665.8125,1,0,0.5,2.0,1575.5,1.0
103,2,12,1920,32,9,2,2,30,2,True,32,15,17,0.51953125,1.921875,2.6484375,1688.50390625,2,0,0.3125,1.5,1442.5625,1.0
103,3,12,1920,32,9,3,3,29,3,True,32,15,17,0.5390625,1.93359375,2.66015625,1700.046875,2,1,0.3333333333333333,1.3333333333333333,1408.3333333333333,1.0
103,4,12,1920,32,9,4,4,28,4,True,32,16,16,0.54296875,1.953125,2.6484375,1690.58984375,3,1,0.46875,1.25,1394.375,1.0
104,0,9,1440,32,9,0,0,32,0,True,32,19,13,0.5,1.765625,2.359375,1494.37890625,0,0,,,,
104,1,9,1440,32,9,1,1,31,1,True,32,19,13,0.5078125,1.77734375,2.37109375,1504.4765625,0,1,0.75,1.25,1322.75,1.0
104,2,9,1440,32,9,2,2,30,2,True,32,18,14,0.53515625,1.796875,2.359375,1494.765625,0,2,0.4375,1.125,1654.3125,1.0
104,3,9,1440,32,9,3,3,29,3,True,32,17,15,0.55859375,1.83984375,2.49609375,1569.8984375,0,3,0.375,1.0833333333333333,1351.5416666666667,1.0
104,4,9,1440,32,9,4,4,28,4,True,32,17,15,0.56640625,1.8515625,2.5078125,1576.265625,1,3,0.46875,1.53125,1456.5625,1.25
105,0,9,1440,32,9,0,0,32,0,True,32,18,14,0.47265625,1.75,2.47265625,1570.19140625,0,0,,,,
105,1,9,1440,32,9,1,1,31,1,True,32,18,14,0.48828125,1.79296875,2.484375,1574.5234375,0,1,0.5,1.0,1276.25,1.0
105,2,9,1440,32,9,2,2,30,2,True,32,18,14,0.515625,1.83203125,2.51953125,1596.4921875,1,1,0.3125,1.0,1014.125,1.0
105,3,9,1440,32,9,3,3,29,3,True,32,17,15,0.53515625,1.921875,2.609375,1654.0234375,1,2,0.3333333333333333,1.0,1098.0833333333333,1.0
105,4,9,1440,32,9,4,4,28,4,True,32,18,14,0.55078125,1.91796875,2.625,1661.125,2,2,0.375,1.15625,1173.875,1.0
106,0,10,1600,32,11,0,0,32,0,True,32,13,19,0.5625,2.42578125,3.18359375,1970.0546875,0,0,,,,
106,1,10,1600,32,11,1,1,31,1,True,32,12,20,0.58203125,2.3125,3.0390625,1898.4296875,0,1,0.375,4.75,3668.5,1.0
106,2,10,1600,32,11,2,2,30,2,True,32,13,19,0.609375,2.16015625,2.91796875,1824.41796875,1,1,0.25,5.4375,3672.0,1.5
106,3,10,1600,32,11,3,3,29,3,True,32,13,19,0.61328125,2.08984375,2.84765625,1788.47265625,1,2,0.4583333333333333,5.541666666666667,3587.4166666666665,2.0
106,4,10,1600,32,11,4,4,28,4,True,32,12,20,0.6171875,2.125,2.7890625,1766.765625,1,3,0.5625,4.40625,3231.625,1.75
107,0,8,1280,32,4,0,0,32,0,True,32,14,18,0.50390625,1.4296875,2.12890625,1353.7421875,0,0,,,,
107,1,8,1280,32,4,1,1,31,1,True,32,14,18,0.5078125,1.45703125,2.15625,1367.4375,1,0,0.875,1.0,1263.5,1.0
